Date,Time,Host,Result,Guest,Audience,MVP
11.02.2018,14:45,MKS Będzin,"2:3 (23:25, 25:14, 21:25, 25:21, 12:15)",GKS Katowice,1500,Karol Butryn
16.02.2018,18:00,Łuczniczka Bydgoszcz,"3:2 (22:25, 23:25, 25:19, 25:14, 15:9)",BBTS Bielsko-Biała,1370,Mateusz Sacharewicz
16.02.2018,18:00,Onico Warszawa,"3:2 (25:15, 23:25, 25:21, 15:25, 15:10)",Dafi Społem Kielce,1800,Guillaume Samica
17.02.2018,14:45,Cuprum Lubin,"0:3 (20:25, 15:25, 23:25)",PGE Skra Bełchatów,2806,Mariusz Wlazły
17.02.2018,17:00,Czarni Radom,"1:3 (25:20, 21:25, 16:25, 18:25)",ZAKSA Kędzierzyn-Koźle,1500,Łukasz Wiśniewski
17.02.2018,17:00,GKS Katowice,"3:1 (22:25, 25:14, 25:23, 25:18)",Espadon Szczecin,500,Marcin Komenda
17.02.2018,17:00,Indykpol AZS Olsztyn,"3:2 (29:27, 25:16, 19:25, 24:26, 29:27)",Aluron Virtu Warta Zawiercie,2000,Jan Hadrava
17.02.2018,18:00,MKS Będzin,"0:3 (19:25, 20:25, 23:25)",Trefl Gdańsk,1395,Artur Szalpuk
18.02.2018,14:45,Asseco Resovia Rzeszów,"3:0 (25:21, 25:20, 25:21)",Jastrzębski Węgiel,4304,Thibault Rossard
23.02.2018,18:00,Trefl Gdańsk,"3:0 (25:20, 25:21, 25:20)",Asseco Resovia Rzeszów,4450,Mateusz Mika
24.02.2018,14:45,Jastrzębski Węgiel,"3:0 (36:34, 25:20, 26:24)",Indykpol AZS Olsztyn,1698,Maciej Muzaj
24.02.2018,17:00,ZAKSA Kędzierzyn-Koźle,"3:1 (22:25, 25:17, 25:17, 25:15)",Łuczniczka Bydgoszcz,1542,Maurice Torres
24.02.2018,17:00,Espadon Szczecin,"1:3 (25:22, 22:25, 17:25, 19:25)",MKS Będzin,1530,Rafael Rodrigues de Araújo
24.02.2018,17:00,BBTS Bielsko-Biała,"3:1 (25:23, 25:20, 22:25, 25:22)",Onico Warszawa,500,Oleg Krikun
24.02.2018,17:00,Aluron Virtu Warta Zawiercie,"2:3 (25:14, 20:25, 17:25, 25:23, 10:15)",Cuprum Lubin,1500,Łukasz Kaczmarek
25.02.2018,14:45,Dafi Społem Kielce,"0:3 (18:25, 23:25, 23:25)",GKS Katowice,2174,Marcin Komenda
25.02.2018,18:00,PGE Skra Bełchatów,"3:2 (25:23, 18:25, 18:25, 25:22, 15:12)",Czarni Radom,2345,Milad Ebadipur
20.02.2018,19:00,Onico Warszawa,"3:2 (25:21, 27:25, 20:25, 21:25, 15:11)",ZAKSA Kędzierzyn-Koźle,4230,Nikola Ǵorǵiev
01.03.2018,19:00,Espadon Szczecin,"0:3 (20:25, 14:25, 21:25)",Trefl Gdańsk,1015,Tyler Sanders
02.03.2018,18:00,Czarni Radom,"3:0 (25:19, 25:21, 25:22)",Aluron Virtu Warta Zawiercie,1500,Wojciech Żaliński
03.03.2018,14:45,Indykpol AZS Olsztyn,"3:1 (23:25, 25:23, 25:19, 25:13)",Asseco Resovia Rzeszów,2100,Adrian Buchowski
03.03.2018,15:00,Łuczniczka Bydgoszcz,"0:3 (20:25, 21:25, 17:25)",PGE Skra Bełchatów,4150,Karol Kłos
03.03.2018,17:00,GKS Katowice,"3:2 (19:25, 22:25, 25:22, 25:23, 15:12)",BBTS Bielsko-Biała,550,Rafał Sobański
04.03.2018,14:45,Cuprum Lubin,"3:0 (25:23, 25:23, 25:16)",Jastrzębski Węgiel,2009,Michal Masný
04.03.2018,20:00,MKS Będzin,"3:0 (25:22, 25:19, 28:26)",Dafi Społem Kielce,1210,Marcin Waliński
07.03.2018,18:00,Asseco Resovia Rzeszów,"3:0 (25:22, 25:20, 25:19)",Cuprum Lubin,3892,Jakub Jarosz
07.03.2018,18:00,Aluron Virtu Warta Zawiercie,"3:0 (25:22, 25:20, 25:23)",Łuczniczka Bydgoszcz,1500,Grzegorz Pająk
07.03.2018,18:00,Dafi Społem Kielce,"0:3 (20:25, 27:29, 22:25)",Espadon Szczecin,987,Marcin Wika
